Job,Machine,Move,Start,Finish,is_stacking
0,0,0,0.5,22,FALSE
0,1,22,22.5,35,FALSE
0,2,35,35.5,59,FALSE
0,3,59,59.5,87,FALSE
0,4,87,87.5,99,FALSE
0,5,99,99.5,99,TRUE
0,6,99,99.5,168,FALSE
1,0,22,22.5,50,FALSE
1,1,50,50.5,67,FALSE
1,2,67,67.5,80,FALSE
1,3,87,87.5,109,FALSE
1,4,109,109.5,134,FALSE
1,5,134,134.5,134,TRUE
1,7,134,134.5,192,FALSE
2,0,50,50.5,65,FALSE
2,1,67,67.5,87,FALSE
2,2,87,87.5,114,FALSE
2,3,114,114.5,130,FALSE
2,4,134,134.5,156,FALSE
2,5,156,156.5,156,TRUE
2,8,156,156.5,206,FALSE
3,0,67,67.5,78,FALSE
3,1,87,87.5,101,FALSE
3,2,114,114.5,128,FALSE
3,3,134,134.5,152,FALSE
3,4,156,156.5,169,FALSE
3,5,169,169.5,169,TRUE
3,6,169,169.5,227,FALSE
4,0,87,87.5,102,FALSE
4,1,114,114.5,124,FALSE
4,2,134,134.5,153,FALSE
4,3,156,156.5,184,FALSE
4,4,184,184.5,199,FALSE
4,5,199,199.5,199,TRUE
4,7,199,199.5,262,FALSE
5,0,114,114.5,140,FALSE
5,1,140,140.5,155,FALSE
5,2,156,156.5,169,FALSE
5,3,184,184.5,213,FALSE
5,4,213,213.5,240,FALSE
5,5,240,240.5,240,TRUE
5,6,240,240.5,291,FALSE
6,0,140,140.5,168,FALSE
6,1,168,168.5,178,FALSE
6,2,184,184.5,212,FALSE
6,3,213,213.5,234,FALSE
6,4,240,240.5,267,FALSE
6,5,267,267.5,267,TRUE
6,7,267,267.5,332,FALSE
7,0,168,168.5,196,FALSE
7,1,196,196.5,225,FALSE
7,2,225,225.5,250,FALSE
7,3,250,250.5,260,FALSE
7,4,267,267.5,279,FALSE
7,5,279,279.5,279,TRUE
7,8,279,279.5,329,FALSE
8,0,196,196.5,212,FALSE
8,1,225,225.5,250,FALSE
8,2,250,250.5,262,FALSE
8,3,267,267.5,285,FALSE
8,4,285,285.5,299,FALSE
8,5,299,299.5,299,TRUE
8,6,299,299.5,366,FALSE
9,0,225,225.5,242,FALSE
9,1,250,250.5,274,FALSE
9,2,274,274.5,296,FALSE
9,3,296,296.5,309,FALSE
9,4,309,309.5,323,FALSE
9,5,323,323.5,329,TRUE
9,8,329,329.5,391,FALSE
